,id_empreendimento,origem_ajustada,tipos_infraestruturas,intervencao_principal,nome_empreendimento,setor,descr_status_empreendimento,natureza_empreendimento,esfera_acao,grupo_modelagem,responsavel_gestao_infraestrutura,tirm,viabilidade,dimensao_financeira,dimensao_socioeconomica_pond,dimensao_estrategica,ic_1_pond,municipio,Rodovias,capex,opex,carteira_classificada,regiao_geografica_intermediaria,extensao_km,impacto_avaliado_1_pond_cenario,receita,link_formulario
0,11,PELT 2007,"['Faixa adicional', 'Trecho rodoviário']",Ampliação de trecho rodoviário,Ampliação de trecho rodoviário na BR 153: div. MG/GO a div. MG/SP,Rodoviário,Concepção,Transporte de Cargas e Pessoas,Federal,Caso geral - infraestruturas lineares,Triunfo Concebra,0.11211498826742101,Alta viabilidade,0.829848016689777,0.158500116701129,0.0299085,0.20969295382126102,"['Campo Florido', 'Centralina', 'Comendador Gomes', 'Frutal', 'Monte Alegre de Minas', 'Itumbiara', 'Prata', 'Canápolis', 'Araporã', 'Fronteira']",['BR-153'],1268445301.0,1123160444.0,1.0,"['Uberaba', 'Uberlândia', 'Itumbiara']",236,Alto impacto,1772959104.0,https://docs.google.com/forms/d/e/1FAIpQLSdzGJqGM4kRQchwWFCuRujyKPjUhdQi-2VPyL8WlcJFjhjcIA/viewform
1,12,PELT 2007,"['Faixa adicional', 'Trecho rodoviário']",Ampliação de trecho rodoviário,Ampliação de trecho rodoviário na BR 251: Montes Claros a Entr. BR-116,Rodoviário,Concepção,Transporte de Cargas e Pessoas,Federal,Caso geral - infraestruturas lineares,DNIT,0.026073303073644003,Média viabilidade,0.5272638046821071,0.210893139950482,0.028750500000000002,0.16025464202001802,"['Santa Cruz de Salinas', 'Grão Mogol', 'Francisco Sá', 'Fruta de Leite', 'Cachoeira de Pajeú', 'Rubelita', 'Águas Vermelhas', 'Padre Carvalho', 'Curral de Dentro', 'Montes Claros', 'Salinas']","['BR-116', 'BR-251']",1586032698.0,1540566477.0,1.0,"['Montes Claros', 'Teófilo Otoni']",322,Médio impacto,1725775744.0,https://docs.google.com/forms/d/e/1FAIpQLScNFhf2paYA2aSJSX69kEi8LfIW2YjH8XCRlcwhBaHqGU-yig/viewform
2,13,PELT 2007,"['Faixa adicional', 'Trecho rodoviário']",Ampliação de trecho rodoviário,Ampliação de trecho rodoviário na BR 365: Uberlândia a Montes Claros,Rodoviário,Concepção,Transporte de Cargas e Pessoas,Federal,Caso geral - infraestruturas lineares,EPR Triângulo,0.007343765813857,Média viabilidade,0.46139733239884506,0.20496561807805902,0.06596250000000001,0.15447045612575303,"['Claro dos Poções', 'Pirapora', 'Varjão de Minas', 'Buritizeiro', 'Jequitaí', 'Monte Carmelo', 'Presidente Olegário', 'Romaria', 'Montes Claros', 'São Gonçalo do Abaeté', 'Patos de Minas', 'João Pinheiro', 'Uberlândia', 'Várzea da Palma', 'Araguari', 'Indianópolis', 'Estrela do Sul', 'Guimarânia', 'Patrocínio', 'São João da Lagoa']",['BR-365'],4311708945.0,2925071552.0,1.0,"['Montes Claros', 'Uberlândia', 'Patos de Minas']",611,Médio impacto,4284536320.0,https://docs.google.com/forms/d/e/1FAIpQLSflyrB6FpFPVaFnb9Pvf0fQ5myvCbHYaZep6mB4R5Ndbzi64Q/viewform
3,18,PELT 2007,['Trecho rodoviário'],Manutenção de trecho rodoviário,AMG-1520/AMG-1550/BR-146/MG-459/BR-267/MG-290/MG-295/MG-455/MGT-482,Rodoviário,Concepção,Transporte de Cargas e Pessoas,Estadual,Caso geral - infraestruturas lineares,DER-MG,-0.00751413591206,Baixa viabilidade,1.0,0.115429959484299,0.038716,0.21094123919386001,"['Inconfidentes', 'Monte Sião', 'Poços de Caldas', 'Bueno Brandão', 'Borda da Mata', 'Pouso Alegre', 'Ouro Fino', 'Jacutinga', 'Andradas', 'Caldas', 'Senador José Bento', 'Ibitiúra de Minas', 'Santa Rita de Caldas', 'Albertina']","['MG-455', 'AMG-1550', 'MGT-482', 'MG-295', 'BR-146', 'MG-290', 'AMG-1520', 'MG-459', 'BR-267']",3964089952.0,1320657066.0,1.0,['Pouso Alegre'],276,Alto impacto,3525545728.0,https://docs.google.com/forms/d/e/1FAIpQLSc5QLPYvF1AQ-qewudAEtqoE_nQf3T2TPIXpi2KIPIxdnHGpg/viewform
4,29,PELT 2007,"['Faixa adicional', 'Trecho rodoviário']",Ampliação de trecho rodoviário,AMG-2535/AMG-2540/BR-364/BR-497/LMG-732/LMG-810/LMG-864/MG-255/MG-426/MG-427/MGT-497/ML-26/ML-30,Rodoviário,Concepção,Transporte de Cargas e Pessoas,Estadual,Caso geral - infraestruturas lineares,DER-MG,0.07530435174703501,Média viabilidade,1.0,0.20845148679861802,0.044454,0.24799297895534303,"['São Francisco de Sales', 'Pirajuba', 'União de Minas', 'Itapagipe', 'Água Comprida', 'Ouroeste', 'Uberaba', 'Iturama', 'Planura', 'Frutal', 'Carneirinho', 'Campina Verde', 'Conceição das Alagoas', 'Limeira do Oeste']","['BR-497', 'MG-427', 'LMG-864', 'AMG-2540', 'MG-255', 'BR-364', 'MG-426', 'AMG-2535', 'MGT-497', 'LMG-732', 'LMG-810']",,,1.0,"['Uberaba', 'Uberlândia', 'São José do Rio Preto']",508,Alto impacto,3114838528.0,https://docs.google.com/forms/d/e/1FAIpQLScB1fdB74f1STK44su5R60NxXCAn6dWLcnk1t0xR4KVPuOa4g/viewform
5,31,PELT 2007,['Trecho rodoviário'],Manutenção de trecho rodoviário,MG-220/BR-135/MG-208/BR-496/AMG-0630/AMG-0905,Rodoviário,Concepção,Transporte de Cargas e Pessoas,Estadual,Caso geral - infraestruturas lineares,DER-MG,0.042868141084909,Média viabilidade,1.0,0.12021529337322201,0.036465500000000005,0.220360734113928,"['Claro dos Poções', 'Bocaiúva', 'Curvelo', 'Lassance', 'Santo Hipólito', 'Francisco Dumont', 'Engenheiro Navarro', 'Joaquim Felício', 'Pirapora', 'Montes Claros', 'Corinto', 'Várzea da Palma', 'Buenópolis', 'Augusto de Lima']","['AMG-0630', 'MG-208', 'BR-496', 'BR-135', 'AMG-0905', 'MG-220']",,,1.0,"['Belo Horizonte', 'Montes Claros']",428,Alto impacto,2498974720.0,https://docs.google.com/forms/d/e/1FAIpQLScDeaOLY8-xQ74gui18D5Jq8HA7Br5-k6kfgw9kcvnZQ-jtOg/viewform
6,35,PELT 2007,['Trecho rodoviário'],Ampliação de trecho rodoviário,"Duplicação de trechos rodoviários: BR-153, BR-365 e BR-050 (Entre Div MG / GO e Uberaba, Via Urberlândia)",Rodoviário,Concepção,Transporte de Cargas e Pessoas,Federal,Caso geral - infraestruturas lineares,DER-MG,0.0036681799683710003,Média viabilidade,0.44847133909434406,0.13195805323162701,0.0216075,0.124996905989615,"['Uberlândia', 'Uberaba', 'Centralina', 'Monte Alegre de Minas', 'Itumbiara', 'Canápolis', 'Araporã']","['BR-153', 'BR-365', 'BR-050']",1310172634.0,855604484.9999999,1.0,"['Uberaba', 'Uberlândia', 'Itumbiara']",242,Médio impacto,,https://docs.google.com/forms/d/e/1FAIpQLSddCsa34X1gh_lIBj1oreBfYnwdO9HWf4r5DrrUD5OwP6yNcg/viewform
7,36,PELT 2007,['Trecho rodoviário'],Ampliação de trecho rodoviário,Ampliação de trecho rodoviário na MG-020: BH a Santa Luzia,Rodoviário,Concepção,Transporte de Cargas e Pessoas,Estadual,Caso geral - infraestruturas lineares,DER-MG,0.07778325676918,Média viabilidade,0.709113050854802,0.13344173501570802,0.0070420000000000005,0.17435519771233102,"['Belo Horizonte', 'Santa Luzia']",['MG-020'],52638643.0,66149874.00000001,1.0,['Belo Horizonte'],22,Médio impacto,180594624.0,https://docs.google.com/forms/d/e/1FAIpQLScwa5OAyZOqYjoOZtTLCsRC-ec7ELMQjpUCP4oZAFT8ElBQkw/viewform
8,37,PELT 2007,['Trecho rodoviário'],Implantação de trecho rodoviário,Implantação de Novas Ligações Rodoviárias na Região Industrial de Betim / Ibirité,Rodoviário,Concepção,Transporte de Cargas e Pessoas,Estadual,Caso geral - infraestruturas lineares,DER-MG,-0.070054493844509,Baixa viabilidade,0.189209597387052,0.134300676552417,0.0111575,0.070855209752873,"['Ibirité', 'Contagem', 'Betim']",[],535377413.99999994,171788083.0,0.0,['Belo Horizonte'],36,Baixo impacto,604728448.0,https://docs.google.com/forms/d/e/1FAIpQLSdfNdgqXXSKdmuHEwklRJlDoLSgaK7USzACSLkrfjLm6NZp9Q/viewform
9,46,ANTT,"['Faixa adicional', 'OAE Rodoviária', 'Trecho rodoviário', 'Via lateral']",Ampliação de trecho rodoviário,Ampliação de trecho rodoviário na BR-116 / 251 / MG: Contratação BNDES (1600 km) - Lote 1,Rodoviário,Análise prévia (TCE/TCU/Audiência Pública/Consulta Pública),Transporte de Cargas e Pessoas,Federal,Caso geral - infraestruturas lineares,DNIT,0.00214302400127,Média viabilidade,1.0,0.249966423309632,0.068563,0.219484130689012,"['Pedra Azul', 'Catuji', 'Caraí', 'Padre Paraíso', 'Governador Valadares', 'Frei Inocêncio', 'Salinas', 'Medina', 'Fruta de Leite', 'Cachoeira de Pajeú', 'Teófilo Otoni', 'Águas Vermelhas', 'Montes Claros', 'Ponto dos Volantes', 'Santa Cruz de Salinas', 'Francisco Sá', 'Itaobim', 'Taiobeiras', 'Padre Carvalho', 'Campanário', 'Grão Mogol', 'Jampruca', 'Rubelita', 'Mathias Lobato', 'Itambacuri']",['BR-116'],8334089334.0,6019064519.0,1.0,"['Montes Claros', 'Teófilo Otoni', 'Governador Valadares']",768,Alto impacto,10525306880.0,https://docs.google.com/forms/d/e/1FAIpQLSdiliH-Plpszgrk27Q2TDhQbTso7-FhhgIofOFZXrtbMl8icg/viewform
